date,SKU,demand,stock_level,lead_time,reorder_point
2020-01-01,SKU_A,54,300,7,150
2020-01-02,SKU_A,48,246,7,150
2020-01-03,SKU_A,57,198,7,150
2020-01-04,SKU_A,66,441,7,150
2020-01-05,SKU_A,49,375,7,150
2020-01-06,SKU_A,49,326,7,150
2020-01-07,SKU_A,67,277,7,150
2020-01-08,SKU_A,60,210,7,150
2020-01-09,SKU_A,48,450,7,150
2020-01-10,SKU_A,58,402,7,150
2020-01-11,SKU_A,48,344,7,150
2020-01-12,SKU_A,49,296,7,150
2020-01-13,SKU_A,56,247,7,150
2020-01-14,SKU_A,35,191,7,150
2020-01-15,SKU_A,37,156,7,150
2020-01-16,SKU_A,49,419,7,150
2020-01-17,SKU_A,45,370,7,150
2020-01-18,SKU_A,59,325,7,150
2020-01-19,SKU_A,47,266,7,150
2020-01-20,SKU_A,42,219,7,150
2020-01-21,SKU_A,71,177,7,150
2020-01-22,SKU_A,55,406,7,150
2020-01-23,SKU_A,58,351,7,150
2020-01-24,SKU_A,43,293,7,150
2020-01-25,SKU_A,52,250,7,150
2020-01-26,SKU_A,59,198,7,150
2020-01-27,SKU_A,47,439,7,150
2020-01-28,SKU_A,63,392,7,150
2020-01-29,SKU_A,53,329,7,150
2020-01-30,SKU_A,57,276,7,150
2020-01-31,SKU_A,54,219,7,150
2020-02-01,SKU_A,79,165,7,150
2020-02-02,SKU_A,60,386,7,150
2020-02-03,SKU_A,50,326,7,150
2020-02-04,SKU_A,69,276,7,150
2020-02-05,SKU_A,49,207,7,150
2020-02-06,SKU_A,64,158,7,150
2020-02-07,SKU_A,42,394,7,150
2020-02-08,SKU_A,49,352,7,150
2020-02-09,SKU_A,64,303,7,150
2020-02-10,SKU_A,70,239,7,150
2020-02-11,SKU_A,65,169,7,150
2020-02-12,SKU_A,62,404,7,150
2020-02-13,SKU_A,61,342,7,150
2020-02-14,SKU_A,49,281,7,150
2020-02-15,SKU_A,57,232,7,150
2020-02-16,SKU_A,60,175,7,150
2020-02-17,SKU_A,75,415,7,150
2020-02-18,SKU_A,68,340,7,150
2020-02-19,SKU_A,47,272,7,150
2020-02-20,SKU_A,69,225,7,150
2020-02-21,SKU_A,62,156,7,150
2020-02-22,SKU_A,59,394,7,150
2020-02-23,SKU_A,72,335,7,150
2020-02-24,SKU_A,77,263,7,150
2020-02-25,SKU_A,76,186,7,150
2020-02-26,SKU_A,58,410,7,150
2020-02-27,SKU_A,64,352,7,150
2020-02-28,SKU_A,70,288,7,150
2020-02-29,SKU_A,77,218,7,150
2020-03-01,SKU_A,63,441,7,150
2020-03-02,SKU_A,66,378,7,150
2020-03-03,SKU_A,57,312,7,150
2020-03-04,SKU_A,56,255,7,150
2020-03-05,SKU_A,76,199,7,150
2020-03-06,SKU_A,82,423,7,150
2020-03-07,SKU_A,68,341,7,150
2020-03-08,SKU_A,79,273,7,150
2020-03-09,SKU_A,72,194,7,150
2020-03-10,SKU_A,63,422,7,150
2020-03-11,SKU_A,73,359,7,150
2020-03-12,SKU_A,85,286,7,150
2020-03-13,SKU_A,69,201,7,150
2020-03-14,SKU_A,85,432,7,150
2020-03-15,SKU_A,43,347,7,150
2020-03-16,SKU_A,78,304,7,150
2020-03-17,SKU_A,71,226,7,150
2020-03-18,SKU_A,67,155,7,150
2020-03-19,SKU_A,71,388,7,150
2020-03-20,SKU_A,50,317,7,150
2020-03-21,SKU_A,68,267,7,150
2020-03-22,SKU_A,74,199,7,150
2020-03-23,SKU_A,85,425,7,150
2020-03-24,SKU_A,65,340,7,150
2020-03-25,SKU_A,62,275,7,150
2020-03-26,SKU_A,66,213,7,150
2020-03-27,SKU_A,80,447,7,150
2020-03-28,SKU_A,74,367,7,150
2020-03-29,SKU_A,65,293,7,150
2020-03-30,SKU_A,76,228,7,150
2020-03-31,SKU_A,72,152,7,150
2020-04-01,SKU_A,80,380,7,150
2020-04-02,SKU_A,64,300,7,150
2020-04-03,SKU_A,67,236,7,150
2020-04-04,SKU_A,67,169,7,150
2020-04-05,SKU_A,56,402,7,150
2020-04-06,SKU_A,74,346,7,150
2020-04-07,SKU_A,73,272,7,150
2020-04-08,SKU_A,71,199,7,150
2020-04-09,SKU_A,68,428,7,150
2020-04-10,SKU_A,56,360,7,150
2020-04-11,SKU_A,66,304,7,150
2020-04-12,SKU_A,67,238,7,150
2020-04-13,SKU_A,62,171,7,150
2020-04-14,SKU_A,69,409,7,150
2020-04-15,SKU_A,74,340,7,150
2020-04-16,SKU_A,89,266,7,150
2020-04-17,SKU_A,72,177,7,150
2020-04-18,SKU_A,73,405,7,150
2020-04-19,SKU_A,69,332,7,150
2020-04-20,SKU_A,51,263,7,150
2020-04-21,SKU_A,70,212,7,150
2020-04-22,SKU_A,70,442,7,150
2020-04-23,SKU_A,94,372,7,150
2020-04-24,SKU_A,68,278,7,150
2020-04-25,SKU_A,72,210,7,150
2020-04-26,SKU_A,69,438,7,150
2020-04-27,SKU_A,57,369,7,150
2020-04-28,SKU_A,80,312,7,150
2020-04-29,SKU_A,76,232,7,150
2020-04-30,SKU_A,77,156,7,150
2020-05-01,SKU_A,59,379,7,150
2020-05-02,SKU_A,82,320,7,150
2020-05-03,SKU_A,54,238,7,150
2020-05-04,SKU_A,74,184,7,150
2020-05-05,SKU_A,90,410,7,150
2020-05-06,SKU_A,58,320,7,150
2020-05-07,SKU_A,62,262,7,150
2020-05-08,SKU_A,68,200,7,150
2020-05-09,SKU_A,62,432,7,150
2020-05-10,SKU_A,51,370,7,150
2020-05-11,SKU_A,67,319,7,150
2020-05-12,SKU_A,56,252,7,150
2020-05-13,SKU_A,71,196,7,150
2020-05-14,SKU_A,57,425,7,150
2020-05-15,SKU_A,81,368,7,150
2020-05-16,SKU_A,58,287,7,150
2020-05-17,SKU_A,62,229,7,150
2020-05-18,SKU_A,73,167,7,150
2020-05-19,SKU_A,53,394,7,150
2020-05-20,SKU_A,67,341,7,150
2020-05-21,SKU_A,78,274,7,150
2020-05-22,SKU_A,48,196,7,150
2020-05-23,SKU_A,66,448,7,150
2020-05-24,SKU_A,66,382,7,150
2020-05-25,SKU_A,71,316,7,150
2020-05-26,SKU_A,51,245,7,150
2020-05-27,SKU_A,50,194,7,150
2020-05-28,SKU_A,68,444,7,150
2020-05-29,SKU_A,65,376,7,150
2020-05-30,SKU_A,65,311,7,150
2020-05-31,SKU_A,65,246,7,150
2020-06-01,SKU_A,55,181,7,150
2020-06-02,SKU_A,64,426,7,150
2020-06-03,SKU_A,64,362,7,150
2020-06-04,SKU_A,54,298,7,150
2020-06-05,SKU_A,79,244,7,150
2020-06-06,SKU_A,65,165,7,150
2020-06-07,SKU_A,48,400,7,150
2020-06-08,SKU_A,66,352,7,150
